N,eps_sol,eps_bssg,eps_solsol,dfe,dfe_min,tds,seq
10,0.2,-3,0,-2.243228,-2.243228,-0.751906,1000000000
15,0.2,-2,0,-3.416888,-3.416888,-2.948235,1E+14
5,0.2,-2,0,-2.560231,-2.560231,-1.976792,10000
10,0.2,-2,0,-3.135338,-3.135338,-2.115501,1000000000
15,0.2,-1,0,-3.903896,-3.903896,-4.109632,1E+14
10,0.2,-1,0,-3.749765,-3.749765,-3.120464,1000000000
5,0.2,-1,0,-3.525406,-3.525406,-2.850939,10000
10,0.2,0,0,-4.038448,-4.038448,-3.758511,1000000000
15,0.2,0,0,-4.029503,-4.029503,-3.843646,1E+14
5,0.2,0,0,-4.008002,-4.008002,-3.225997,10000
10,0.2,0.5,0,-4.099075,-4.099075,-3.84283,1000000000
5,0.2,0.5,0,-4.275414,-4.275414,-3.144796,10000
15,0.2,0.5,0,-3.921793,-3.921793,-4.143832,1E+14
10,0.2,1,0,-4.080773,-4.080773,-3.777108,1000000000
15,0.2,1,0,-4.174089,-4.174089,-4.005885,1E+14
5,0.2,1,0,-4.14941,-4.14941,-3.145524,10000
5,0.3,-6,0,0.849141,-0.377822,-2.923213,10000
10,0.3,-6,0,0.905295,-0.619677,-3.067212,1000000000
15,0.3,-6,0,0.840998,-1.039691,-1.03329,1E+14
10,0.3,-5,0,0.175754,-0.274219,2.17571,1000000000
5,0.3,-5,0,0.789101,-0.222245,-2.052288,10000
15,0.3,-5,0,0.035636,-0.428465,0.454211,1E+14
10,0.3,-4,0,-1.128926,-1.128926,1.042937,1000000000
5,0.3,-4,0,0.052198,-0.220357,-0.395641,10000
15,0.3,-4,0,-2.552078,-2.552078,1.559074,1E+14
15,0.3,-3,0,-2.934197,-2.934197,-1.49905,1E+14
5,0.3,-3,0,-1.757882,-1.757882,-0.851445,10000
10,0.3,-3,0,-2.494153,-2.494153,0.052255,1000000000
15,0.3,-2,0,-4.401351,-4.401351,-2.45694,1E+14
5,0.3,-2,0,-3.109377,-3.109377,-2.084974,10000
10,0.3,-2,0,-4.020396,-4.020396,-2.765027,1000000000
15,0.3,-1,0,-4.803157,-4.803157,-4.230051,1E+14
10,0.3,-1,0,-4.579439,-4.579439,-3.630804,1000000000
5,0.3,-1,0,-4.096085,-4.096085,-2.98988,10000
5,0.3,0,0,-4.646617,-4.646617,-3.275496,10000
15,0.3,0,0,-4.953947,-4.953947,-4.774802,1E+14
10,0.3,0,0,-4.659153,-4.659153,-3.250954,1000000000
15,0.3,0.5,0,-4.715317,-4.715317,-3.695255,1E+14
5,0.3,0.5,0,-4.884543,-4.884543,-3.020701,10000
10,0.3,0.5,0,-4.995838,-4.995838,-4.072841,1000000000
5,0.3,1,0,-4.789026,-4.789026,-3.307645,10000
15,0.3,1,0,-5.052592,-5.052592,-4.533504,1E+14
10,0.3,1,0,-5.024384,-5.024384,-4.254478,1000000000
5,0.4,-6,0,0.326873,-0.702396,-2.749224,10000
10,0.4,-6,0,-0.226245,-2.503927,-0.741086,1000000000
15,0.4,-6,0,-1.338974,-2.522384,0.017562,1E+14
10,0.4,-5,0,-0.710377,-1.17914,0.665543,1000000000
5,0.4,-5,0,-0.187662,-0.773911,-1.362718,10000
15,0.4,-5,0,-1.680601,-1.680601,-0.636114,1E+14
10,0.4,-4,0,-2.466768,-2.466768,0.460792,1000000000
5,0.4,-4,0,-0.844854,-0.844854,-0.369142,10000
15,0.4,-4,0,-3.323756,-3.323756,1.307454,1E+14
15,0.4,-3,0,-4.370091,-4.370091,-0.857657,1E+14
5,0.4,-3,0,-2.200006,-2.200006,-0.959208,10000
10,0.4,-3,0,-3.386931,-3.386931,-0.292235,1000000000
15,0.4,-2,0,-5.292637,-5.292637,-1.237087,1E+14
5,0.4,-2,0,-3.561011,-3.561011,-2.04499,10000
10,0.4,-2,0,-4.7174,-4.7174,-2.642543,1000000000
15,0.4,-1,0,-5.725431,-5.725431,-5.333871,1E+14
10,0.4,-1,0,-5.804142,-5.804142,-3.949132,1000000000
5,0.4,-1,0,-4.780606,-4.780606,-2.898529,10000
5,0.4,0,0,-5.246195,-5.246195,-3.347343,10000
15,0.4,0,0,-6.739764,-6.739764,-6.106977,1E+14
10,0.4,0,0,-5.832496,-5.832496,-4.388525,1000000000
15,0.4,0.5,0,-6.924224,-6.924224,-0.72684,1E+14
5,0.4,0.5,0,-5.491361,-5.491361,-3.471264,10000
10,0.4,0.5,0,-5.689368,-5.689368,-4.699527,1000000000
5,0.4,1,0,-5.644024,-5.644024,-3.474793,10000
15,0.4,1,0,-6.480925,-6.480925,-5.594626,1E+14
10,0.4,1,0,-6.596106,-6.596106,-4.644855,1000000000
5,0.5,-6,0,-0.183433,-1.138155,-2.403141,10000
10,0.5,-6,0,-0.417269,-1.614962,-4.362553,1000000000
15,0.5,-6,0,-2.723538,-3.297459,3.315419,1E+14
10,0.5,-5,0,-1.015751,-1.881228,-0.451186,1000000000
5,0.5,-5,0,-0.825806,-1.535446,-1.729376,10000
15,0.5,-5,0,-1.357452,-3.095277,-3.226172,1E+14
10,0.5,-4,0,-2.314634,-2.314634,0.275052,1000000000
5,0.5,-4,0,-1.378501,-1.378501,-0.381253,10000
15,0.5,-4,0,-3.102932,-3.102932,0.214306,1E+14
15,0.5,-3,0,-5.615559,-5.615559,0.202577,1E+14
5,0.5,-3,0,-2.930571,-2.930571,-0.801418,10000
10,0.5,-3,0,-4.22841,-4.22841,-0.820747,1000000000
15,0.5,-2,0,-6.21839,-6.21839,-0.69039,1E+14
5,0.5,-2,0,-4.277565,-4.277565,-1.832715,10000
10,0.5,-2,0,-5.742139,-5.742139,-1.546437,1000000000
15,0.5,-1,0,-6.783311,-6.783311,-3.048492,1E+14
10,0.5,-1,0,-7.036482,-7.036482,-1.712654,1000000000
5,0.5,-1,0,-5.256068,-5.256068,-3.089311,10000
10,0.5,0,0,-7.146426,-7.146426,-4.670953,1000000000
15,0.5,0,0,-8.077229,-8.077229,0.007901,1E+14
5,0.5,0,0,-5.878788,-5.878788,-3.410961,10000
10,0.5,0.5,0,-7.607516,-7.607516,-2.491829,1000000000
5,0.5,0.5,0,-6.072269,-6.072269,-3.646086,10000
15,0.5,0.5,0,-7.781584,-7.781584,-2.098045,1E+14
10,0.5,1,0,-7.941401,-7.941401,-4.617436,1000000000
15,0.5,1,0,-7.770531,-7.770531,-4.10566,1E+14
5,0.5,1,0,-6.095409,-6.095409,-3.092988,10000
7,-0.1,-5,0,4.892611,-0.219443,0.665133,0001000
15,-0.3,0.5,0,1.363948,-0.197968,-6.650876,000000100000000
15,0.2,-3,0,-1.976055,-1.976055,-3.512287,000001000000000
10,0.4,0.5,0,-5.687551,-5.687551,-5.265693,0000000100
12,0.4,-3,0,-1.805919,-1.805919,-2.44301,000000001000
15,-0.4,-3,0,1.188321,-0.195463,-5.61023,000001000000000
12,0.3,-1,0,-4.62445,-4.62445,-5.366227,000000100000
15,-0.3,-2,0,1.05012,-0.227165,-7.093492,000001000000000
7,-0.5,-6,0,6.395413,-0.256664,-4.670589,0000010
12,-0.5,-6,0,3.302802,-0.270329,-3.571303,000001000000
10,-0.4,-2,0,1.358557,-0.256638,-4.36,0001000000
10,0.5,-4,0,-2.464147,-2.464147,-0.183444,0000100000
10,0.5,-1,0,-6.332667,-6.332667,-3.56592,0001000000
12,-0.5,-3,0,2.136511,-0.314468,-4.909129,000001000000
7,0.5,-1,0,-5.164822,-5.164822,-4.548298,0001000
15,0.4,-5,0,-0.542197,-2.046078,0.966106,000000000100000
12,0.1,-6,0,5.441502,-0.206356,-5.869995,000001000000
12,0.1,0,0,-2.106385,-2.106385,-5.280828,000010000000
10,0.1,0.5,0,-2.622308,-2.622308,-4.306589,0000001000
10,0.5,-4,0,-2.162617,-2.25081,-1.0642,0000010000
15,0.5,0,0,-6.578271,-6.578271,-5.436727,000000000000100
15,0.1,-5,0,3.48524,-0.213522,-4.915542,000000000000100
10,-0.4,-2,0,1.567928,-0.198669,-4.643242,0000010000
10,0.1,-4,0,1.297266,-0.193582,-2.379788,0000100000
5,0.1,-1,0,-1.031757,-1.031757,-3.736773,00010
7,-0.2,-5,0,6.156063,-0.206383,-1.939136,0001000
10,0.1,-6,0,4.485269,-0.209443,-6.019426,0001000000
